Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english
SS_Molten_01,blocks,Terrain,,,,Molten Lava Terrain
SS_Molten_01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Molten_02,blocks,Terrain,,,,Molten Lightning Terrain
SS_Molten_02Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_FG_Aqua,blocks,Terrain,,,,Forest Ground Aqua Terrain
SS_FG_AquaDesc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_FG_Base,blocks,Terrain,,,,Forest Ground Saturated Terrain
SS_FG_BaseDesc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_FG_Blue,blocks,Terrain,,,,Forest Ground Blue Terrain
SS_FG_BlueDesc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_FG_Lime,blocks,Terrain,,,,Forest Ground Lime Terrain
SS_FG_LimeDesc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_FG_Orange,blocks,Terrain,,,,Forest Ground Orange Terrain
SS_FG_OrangeDesc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_FG_Pink,blocks,Terrain,,,,Forest Ground Pink Terrain
SS_FG_PinkDesc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_FG_Purple,blocks,Terrain,,,,Forest Ground Purple Terrain
SS_FG_PurpleDesc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Cliff,blocks,Terrain,,,,Cliff Terrain
SS_CliffDesc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Ground_01,blocks,Terrain,,,,Ground Rock 1 Terrain
SS_Ground_01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Ground_02,blocks,Terrain,,,,Ground Rock 2 Terrain
SS_Ground_02Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Ground_03,blocks,Terrain,,,,Ground Rock 3 Terrain
SS_Ground_03Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Ground_04,blocks,Terrain,,,,Moon Terrain
SS_Ground_04Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Ground_05,blocks,Terrain,,,,Mossy Rock Terrain
SS_Ground_05Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Ground_06,blocks,Terrain,,,,Rocky Sand Terrain
SS_Ground_06Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Leaves_01,blocks,Terrain,,,,Fall Leaves Terrain
SS_Leaves_01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Molten_03,blocks,Terrain,,,,Molten Lava 3 Terrain
SS_Molten_03Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Mud_01,blocks,Terrain,,,,Mud Terrain
SS_Mud_01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Path_01,blocks,Terrain,,,,Path Stone Terrain
SS_Path_01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Rock_01,blocks,Terrain,,,,Gold Encrusted Stone Terrain
SS_Rock_01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Snow_01,blocks,Terrain,,,,Rough Snow Terrain
SS_Snow_01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Snow_02,blocks,Terrain,,,,Fluffy Snow Terrain
SS_Snow_02Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Snow_03,blocks,Terrain,,,,Rocky Snow Terrain
SS_Snow_03Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Snow_04,blocks,Terrain,,,,Sticky Snow Terrain
SS_Snow_04Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_Ore_Azurite,blocks,Terrain,,,,Azurite Ore Terrain
SS_Ore_AzuriteDesc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyAsh01,blocks,Terrain,,,,Ash Terrain
SS_guppyAsh01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyCrackedMud01,blocks,Terrain,,,,Cracked Mud Terrain
SS_SS_guppyCrackedMud01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyDirt01,blocks,Terrain,,,,Dirt Terrain
SS_guppyDirt01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyForest01,blocks,Terrain,,,,Forest Terrain
SS_guppyForest01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyForest02,blocks,Terrain,,,,Forest 2 Terrain
SS_guppyForest02Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyIce01,blocks,Terrain,,,,Black Ice Terrain
SS_guppyIce01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyJungle01,blocks,Terrain,,,,Jungle Roots Terrain
SS_guppyJungle01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyLava01,blocks,Terrain,,,,Molten Lava 2 Terrain
SS_guppyLava01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyLava02,blocks,Terrain,,,,Molten Lava 3 Terrain
SS_guppyLava02Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
